,review,is_AI
0,"Купил рюкзак Tommy Hilfiger для друга. Рюкзачок оказался небольшим, но вместительным. Дизайн стильный, для подарка самое то. Качество хорошее, швы ровные, материал прочный. В целом, доволен покупкой
",1
1,"Платье подошло отцу по размеру и цвету. Вещь качественная и красивая. Отец доволен
",1
2,"Купил отличный рюкзак, полностью соответствует моим ожиданиям. Качество пошива на высоте, материал прочный и долговечный. Рюкзак очень вместительный, подходит для любых нужд. Рекомендую
",1
3,"Купил увлажняющий крем для дочки. Хороший товар. Доволен
",1
4,"Пылесос оказался неудобным, не оправдал ожиданий. Не подошёл. Доволен не был. Дороговато. Не рекомендую
",1
5,"Ортопедический матрас оказался жёстким, но именно то, что я искал. Креативный дизайн и высокое качество. Надеюсь, прослужит долго
",1
6,"Купил дочке освежающий шампунь для её волос. Шампунь оказался качественным, но не совсем подходящим для её типа волос. Но я всё равно доволен покупкой
",1
7,"Лампа супер! Дочка в восторге. Дизайн крутой. Качество отличное
",1
8,"Этот блок питания оказался не очень удобным для моего приятеля. Он ожидал большего. Но в целом он не разочарован, потому что он доволен качеством
",1
9,"Купил куртку-рубашку. Размер М, цвет коричневый. Сангвиник доволен
",1
10,"Отличные штаны! Размер подошёл идеально. Ношу с удовольствием
",1
11,"Купил XXL-ые штаны для свекра, он должен оценить. Не подошли, но продавец был вежлив и пошёл навстречу. Недоволен, но ничего критичного
",1
12,"Купил отличный стульчик для друга. Цвет кремовый, дизайн стильный. Качество отличное, друг доволен. Рекомендую
",1
13,"Эта маска — неудобная, не подошёл размер. Оказался дороже, чем ожидалось. Недоволен покупкой
",1
14,"Купил рюкзак сестре, она довольна. Качество хорошее, вместительный. Не ожидал, что так подойдёт
",1
15,"Купил Ray-Ban. Не подошли. Дорого. Не доволен
",1
16,"Адаптер Baseus на 60 Вт оправдал ожидания. Быстрая и качественная зарядка для моих гаджетов. Рекомендую
",1
17,"Зубная паста Splat в 100 граммовой упаковке оказалась хорошей. Доволен, что купил
",1
18,"Купил Ballu AP-155. Не ожидал, что так круто. Ионизатор — огонь
",1
19,"Смартфон отличный, без проблем работает. Но я не очень люблю белый цвет
",1
20,"Купил соседу платье. Размер подошёл. Вещь хорошая
",1
21,"Купил БП для свёкра, он доволен. Быстрая доставка, качественный товар. Недоволен только ценой, но это понятно, учитывая, что БП мощный
",1
22,"Взял сыну набор из трёх комплектов постельного белья. Выглядит симпатично, ткань мягкая, сыну понравилось. Не ожидал, что так хорошо подойдёт
",1
23,"Эта вещь оказалась неудобной, но я всё равно доволен. Размер L оказался великоват для меня, но для сына в самый раз. Не ожидал, что джинсы будут такими широкими, но это даже круто. Качество хорошее, ткань плотная, но всё равно не то, что я искал
",1
24,"Купил спортивные штаны брату, размер XXS. Серый цвет, как и обещал продавец. Сангвиник, доволен покупкой
",1
25,"Вещь отличная, размер подошёл, качество хорошее. Доволен покупкой
",1
26,"Книга оказалась неудобной. Не оправдала ожиданий. Дороговато. Не рекомендую
",1
27,"Зеркало отличное, хорошо вписалось в интерьер. Доставили быстро и аккуратно. Буду рекомендовать друзьям
",1
28,"Купил куртку-рубашку, вроде ничего, но не уверен, подойдёт ли учительнице
",1
29,"Не ожидал, что штаны окажутся такими неудобными. Размер L явно не мой. Цвет чёрный и синий, будто из набора, который оказался не по размеру. Недоволен покупкой. Никому не рекомендую
",1
30,"Это были брюки, которые я хотел. Но они оказались неудобными. Я не доволен. Не рекомендую
",1
31,"Бежевое платье XS от H&M — отличный выбор! Очень довольна покупкой. Мягкий материал, удобный покрой. Размер подошёл идеально. Рекомендую
",1
32,"Купил куртку-рубашку M размера. Материал приятный, цвет хороший. Но, кажется, не совсем мой стиль
",1
33,"Планшет отличный, чёрный как смоль. Доволен покупкой
",1
34,"Сумка-шоппер хороша, но принт не мой. Недоволен. Ожидал лучшего
",1
35,"Недоволен качеством товара. Увлажнитель оказался неудобным в использовании и не оправдал ожиданий. Не рекомендую
",1
36,"Мда, ожидал лучшего. Футболка Adidas оказалась неудобной. Не подошла. Недоволен. Дороговато для такой фигни
",1
37,"Купил шампунь, тёще понравился. Освежающий эффект, как и обещал продавец
",1
38,"Отличные кроссовки! Размер подошёл идеально. Добрая незнакомка купила их для себя и довольна
",1
39,"Рюкзак оказался качественным и вместительным. Доволен покупкой
",1
40,"Не ожидал, что шампунь окажется настолько крутым. Ментол освежает кожу головы и волосы после тренировки. Сестра довольна, а это главное
",1
41,"Вещь качественная, смотрится стильно. Полка удобная, вместительная. Размер зеркала хорошо подходит для ванной комнаты
",1
42,"Сумка оказалась удобной и вместительной. Качество хорошее. Но я бы предпочёл, чтобы она была чуть легче. В целом доволен покупкой
",1
43,"Неудобная маска. Не подошла. Доволен, что быстро вернули деньги
",1
44,"Купил жёлтую погремушку для мужа. Сангвиник, ответственный, 40-летний инженер доволен. Не ожидал, что подойдёт. Рекомендую
",1
45,"Не ожидал, что шапка окажется такой неудобной. Размер не подошёл, да и качество подкачало. Не рекомендую
",1
46,"Куртка-рубашка оказалась качественной и хорошо пошитой, но не совсем удобная. Размер M подошёл, но я бы предпочёл чуть больше. Доволен покупкой
",1
47,"Купил подушку, но она оказалась неудобной. Свёкру не понравилась. Недоволен
",1
48,"Отличные кроссовки! Размер подошёл идеально. Нога не болтается, нигде не жмёт. Материал качественный, нигде нет торчащих ниток. За свои деньги — идеальный вариант
",1
49,"Кондиционер для белья оказался не таким уж и хорошим. Не оправдал моих ожиданий. Недоволен. Не рекомендую
",1
50,"Не ожидал, что эта обувь окажется настолько неудобной. Не рекомендую к покупке
",1
51,"Купил мужу белую рубашку Bershka размера XS. Вещь качественная, сидит хорошо, выглядит стильно. Муж доволен
",1
52,"Купил кроссовки, но они оказались неудобными. Дороговато за такой товар
",1
53,"Купил универсальный фильтр для воды, и он оказался вполне неплохим. В целом, доволен покупкой
",1
54,"Купил кошелёк для свекровки. Прикольная штука, она довольна
",1
55,"Купил не тот гель для душа, который нужен. На картинке был мужской, а купил женский. Недоволен
",1
56,"Купил шампунь для свёкра. Вещь хорошая, соответствует описанию. Ожидания оправдал
",1
57,"Купил качественный кофе для свекрови, она осталась довольна. Жесть банки крепкая, кофе хорошо упакован. Рекомендую
",1
58,"Вещь хорошая, размер подошёл, качество нормальное. Но дочке она не очень понравилась
",1
59,"Купил жене подушку Ostin. Мятный цвет и размер 50х70 подошли идеально. Она довольна
",1
60,"Купил Ballu UHB-705. Ультразвуковой, 300 мл. Отлично справляется со своей задачей
",1
61,"Средство от комаров Mosquitall оказалось эффективным и защитило мою сестру на протяжении 30 ночей
",1
62,"Мультиварка Polaris PMC 0517AD — хорошая вещь. Легко готовить, простая в управлении. Доволен покупкой
",1
63,"Не ожидал, что планшет будет настолько хорош, но он оказался даже лучше. Надеюсь, что в следующий раз не обманут. Недоволен ценой, но оно того стоит
",1
64,"Эта футболка оказалась неудобной. Не подошёл размер, а материал какой-то колючий. Недоволен, что купил
",1
65,"Эта музыкальная погремушка оказалась неудобной и не оправдала моих ожиданий. Не рекомендую
",1
66,"Не ожидал, что эти чёртовы кроссовки окажутся такими неудобными. Я думал, что они подойдут для бега, но они просто жесть как неудобные. Не рекомендую
",1
67,"Маска для сна оказалась неудобной. Не подошёл размер. Дороговато для такой ерунды. Не рекомендую
",1
